Customer ID,First Name,Last Name,Date of Birth,Country,Education,Annual Income,Marital Status,Gender,Date of First Transaction,Exited,IsActiveMember,Account Balance,Current Account,Saving Account,Mortgage,Credit Score,Has Credit Card,Number of Complaints,Satisfaction Score
1000046,Cynthia,Lewis,1989-02-24,USA,Master,188646.25,Single with Partner,Female,2018-03-10,No,No,214550.57,Yes,Yes,No,446,Yes,6,3.79
1000047,Stephen,Gonzales,1951-09-19,UK,GCSE,54114.97,Single,Male,2023-12-29,Yes,No,167532.9,No,Yes,Yes,524,Yes,6,2.37
1000048,Susan,Atkinson,1987-11-13,USA,GCSE,42788.49,Single with Partner,Female,2002-07-08,No,Yes,118294.78,No,Yes,Yes,359,Yes,8,3.5
1000049,Rebecca,Walker,1981-07-30,USA,Master,161284.95,Married,Female,2004-01-04,No,Yes,154752.95,No,No,Yes,305,Yes,14,3.54
1000050,Sharon,Robinson,1977-03-12,UK,Doctorate,192818.18,Divorced,Male,2019-06-24,No,No,182597.71,Yes,No,No,326,Yes,18,4.43
1000051,Caitlin,Gill,1994-02-16,Canada,Master,123483.73,Married,Female,2020-04-10,No,Yes,243822.75,No,No,No,487,No,8,1.65
1000052,Amanda,Wallace,1990-07-08,Germany,Bachelor,181264.33,Divorced,Male,2021-08-30,No,No,30783.36,No,Yes,Yes,355,Yes,12,4.54
1000053,David,Thomas,1965-03-10,Canada,Doctorate,165797.86,Married,Female,2005-03-10,Yes,No,78542.97,Yes,No,No,637,Yes,20,2.3
1000054,Joseph,Warren,1978-09-03,Germany,Bachelor,154035.93,Divorced,Male,2006-06-20,No,Yes,195266.79,Yes,Yes,No,566,Yes,9,4.56
1000055,Gary,Jenkins,1986-05-04,USA,Bachelor,179526.44,Single,Male,2006-06-05,No,Yes,102531.33,No,No,No,324,No,3,1.81
1000056,Michael,Hicks,2004-05-01,Canada,Bachelor,197265.95,Single with Partner,Male,2017-06-25,No,Yes,168251.0,No,Yes,No,388,No,7,1.64
1000057,Curtis,Thornton,1961-04-22,UK,Bachelor,138336.5,Single with Partner,Female,2018-06-30,No,Yes,33626.25,Yes,Yes,No,757,Yes,0,3.46
1000058,Lisa,Torres,1981-03-19,UK,Master,131491.79,Single,Male,2020-01-28,Yes,No,177406.74,Yes,Yes,Yes,729,No,14,4.62
1000059,Cassandra,Edwards,1951-04-18,UK,Bachelor,193030.54,Married,Male,2004-09-13,No,Yes,168646.33,No,Yes,No,580,Yes,19,2.95
1000060,Jeff,Bryant,1987-07-20,UK,Bachelor,173516.25,Single with Partner,Male,2022-12-19,No,No,146620.69,Yes,No,Yes,795,Yes,6,1.33
1000061,Nicole,Berry,1989-07-10,UK,GCSE,66046.66,Married,Male,2023-01-28,No,No,191403.4,No,No,No,817,No,5,4.48
1000062,Christopher,Meyer,1972-01-08,UK,GCSE,79032.92,Single,Female,2015-12-28,Yes,No,220076.01,Yes,No,No,600,No,17,2.99
1000063,Jennifer,Flores,1996-01-08,Germany,Bachelor,179649.11,Single with Partner,Male,2021-02-12,No,No,207393.93,No,No,No,578,Yes,15,3.02
1000064,Andre,Flores,1993-08-19,UK,GCSE,98211.06,Single,Female,2000-01-16,Yes,No,32242.49,Yes,Yes,No,637,Yes,1,1.86
1000065,Brandon,Morales,1984-12-25,UK,GCSE,112309.84,Single with Partner,Female,2007-08-19,No,Yes,186200.59,No,No,Yes,844,No,18,1.79
1000066,Kimberly,Guerrero,1973-10-12,USA,Master,154147.42,Single,Female,2011-04-25,Yes,No,112661.2,Yes,No,Yes,374,Yes,18,3.44
1000067,Michelle,Jordan,1974-11-14,UK,Master,143472.87,Single,Female,2018-02-19,No,Yes,83736.9,Yes,No,Yes,485,No,19,2.72
1000068,Patrick,Herring,1974-06-30,Germany,Master,171173.14,Married,Male,2004-02-17,No,No,219960.54,No,No,Yes,405,Yes,4,1.59
1000069,Rhonda,Ford,1969-06-03,UK,Bachelor,153258.23,Single with Partner,Male,2008-12-16,No,No,140079.46,No,Yes,No,839,Yes,4,4.91
1000070,Selena,Johnston,1951-11-13,Canada,Doctorate,167567.88,Divorced,Female,2006-02-09,No,Yes,125508.19,Yes,No,Yes,686,Yes,19,1.19
1000071,Bryan,Ortega,1958-10-20,Germany,Doctorate,153598.86,Single,Female,2001-09-29,No,Yes,196236.0,Yes,Yes,Yes,808,Yes,14,1.17
1000072,Phillip,Horn,1954-10-12,UK,Master,132239.66,Single,Male,2010-08-03,Yes,No,138505.81,No,No,Yes,575,Yes,8,4.91
1000073,James,Jackson,1992-07-18,UK,Master,157554.14,Married,Female,2001-12-06,No,No,214558.69,Yes,No,Yes,391,No,6,1.89
1000074,John,Jones,2003-04-30,Germany,Bachelor,175273.43,Single with Partner,Female,2018-06-17,Yes,No,26084.08,Yes,Yes,No,731,Yes,4,1.06
1000075,Michael,Jacobs,1954-04-08,Germany,Doctorate,183942.7,Married,Female,2011-01-03,Yes,No,194122.81,Yes,No,Yes,575,Yes,2,2.59
1000076,Meagan,Phelps,1980-11-11,Germany,GCSE,71359.32,Married,Female,2002-05-14,No,No,41293.11,No,No,Yes,637,Yes,20,1.87
1000077,Lauren,Harris,2001-05-05,Germany,GCSE,39862.84,Married,Female,2013-02-10,Yes,No,56617.74,No,No,Yes,796,No,17,4.22
1000078,Martha,Schmidt,1964-08-13,UK,Bachelor,153175.02,Married,Female,2008-09-17,Yes,No,45191.1,Yes,Yes,Yes,643,No,15,2.01
1000079,David,Day,1961-10-25,UK,GCSE,99484.22,Married,Male,2013-02-28,No,Yes,59909.97,Yes,Yes,No,585,Yes,12,4.27
1000080,John,Oconnor,1972-02-06,UK,Doctorate,153028.74,Married,Female,2013-12-20,No,Yes,183064.94,Yes,Yes,No,402,No,17,3.12
1000081,Mark,Anderson,2003-05-18,Germany,Bachelor,175722.46,Single with Partner,Male,2002-01-19,No,Yes,163970.8,No,No,No,839,No,16,4.22
1000082,Kelli,Hill,1965-09-04,USA,Bachelor,160577.09,Divorced,Male,2020-11-16,No,Yes,57753.41,No,No,Yes,749,Yes,16,3.46
1000083,Holly,Bryant,2003-12-19,UK,Master,139297.85,Single with Partner,Female,2015-10-18,No,No,67835.66,Yes,Yes,No,798,Yes,11,4.02
1000084,William,Baker,1992-05-27,UK,Bachelor,183692.04,Married,Female,2002-10-16,Yes,No,25183.81,No,No,No,634,No,9,2.84
1000085,Joshua,Herrera,1946-03-11,UK,GCSE,32084.49,Married,Female,2016-11-07,No,No,103843.11,Yes,No,No,588,Yes,19,2.68
1000086,Jesse,Neal,1965-03-12,UK,Master,161991.22,Single,Male,2014-04-08,No,Yes,94894.86,Yes,Yes,Yes,838,Yes,14,2.82
1000087,Peter,Wagner,1996-07-27,Germany,Master,136711.28,Single with Partner,Male,2001-03-06,No,Yes,36795.62,No,No,Yes,329,Yes,20,3.97
1000088,James,King,1983-10-02,USA,Bachelor,125365.25,Married,Male,2021-07-25,No,No,208722.41,Yes,Yes,Yes,383,No,14,2.77
1000089,Charles,Lee,1970-05-15,Germany,Master,160234.71,Divorced,Male,2013-01-05,No,No,213207.72,No,Yes,No,668,Yes,10,2.17
1000090,Brianna,Austin,1961-05-25,USA,GCSE,71957.97,Single,Female,2023-02-22,No,Yes,27618.08,Yes,No,No,549,No,9,4.24
1000091,Amy,Cortez,1987-03-21,UK,GCSE,91862.49,Single with Partner,Male,2016-07-30,No,No,66884.94,Yes,Yes,No,849,Yes,13,2.66
1000092,Melissa,Lowe,1978-09-10,Germany,GCSE,95496.07,Single with Partner,Male,2019-09-12,No,No,184127.81,Yes,Yes,No,643,Yes,12,2.79
1000093,Susan,Richardson,1975-12-29,Germany,Bachelor,178223.32,Married,Male,2000-12-13,No,No,217543.69,Yes,No,No,364,Yes,15,1.33
1000094,Devin,Brown,1964-07-05,USA,Master,152764.7,Single with Partner,Female,2015-02-05,No,No,18289.58,No,Yes,No,762,No,15,2.47
1000095,Melissa,Peck,2005-09-09,Germany,Master,170535.18,Divorced,Male,2005-04-04,Yes,No,225631.63,No,Yes,Yes,699,Yes,8,4.29
1000096,Kelli,Maldonado,1992-04-27,USA,Bachelor,166155.62,Divorced,Female,2005-02-11,No,No,15784.63,Yes,No,No,688,No,12,3.67
1000097,Todd,Wheeler,1985-01-24,USA,Bachelor,153724.94,Single with Partner,Male,2019-03-22,Yes,No,158592.48,Yes,Yes,Yes,356,Yes,13,1.53
1000098,Tim,Schwartz,2005-05-31,USA,Master,167777.02,Single,Male,2004-08-31,No,Yes,5909.95,Yes,Yes,No,758,No,14,2.88
1000099,Rebecca,Bell,1987-03-14,UK,GCSE,114935.8,Single with Partner,Female,2013-01-14,Yes,No,232094.95,Yes,Yes,No,446,No,16,4.7
1000100,Tammy,Williams,1979-03-25,UK,GCSE,42517.8,Single with Partner,Male,2022-12-10,No,Yes,88681.19,No,No,Yes,533,No,0,1.92
1000101,Benjamin,Wang,1950-06-14,UK,Doctorate,192461.77,Married,Female,2004-08-01,No,Yes,162341.25,Yes,Yes,No,474,No,15,4.3
1000102,Jennifer,Martin,1992-09-15,USA,Master,124276.44,Single,Female,2016-09-24,Yes,No,46481.7,No,No,Yes,518,Yes,18,3.26
1000103,Kayla,Lloyd,1999-06-05,UK,Doctorate,144671.14,Single,Female,2006-02-21,No,No,80585.35,No,No,Yes,318,No,18,2.43
1000104,Lisa,Ross,2004-09-27,USA,Bachelor,143051.62,Single,Female,2003-12-21,Yes,No,186925.7,No,Yes,Yes,674,Yes,1,4.89
1000105,Emily,Murphy,1951-01-13,Canada,Master,170109.21,Single with Partner,Female,2014-02-22,No,Yes,243259.77,Yes,Yes,Yes,340,No,3,3.88
1000106,Leslie,Beard,1996-11-22,UK,GCSE,36597.6,Single,Female,2013-09-28,No,Yes,248016.5,Yes,No,No,774,Yes,4,2.27
1000107,Carlos,Mcknight,2003-12-06,USA,GCSE,108705.37,Single,Male,2019-04-13,Yes,No,202496.01,Yes,Yes,No,592,Yes,5,1.78
1000108,Leslie,Davis,1969-09-04,Germany,Bachelor,186284.11,Married,Male,2017-02-22,No,No,211859.38,Yes,Yes,Yes,664,Yes,7,4.51
1000109,Mark,Cox,1983-02-13,UK,Bachelor,172165.27,Married,Female,2004-11-08,No,Yes,242363.2,No,No,Yes,419,Yes,7,3.37
1000110,Olivia,York,1982-05-11,UK,GCSE,68007.73,Single,Female,2006-01-30,No,No,10463.05,Yes,Yes,Yes,601,No,20,1.15
1000111,Jacqueline,Daniels,1987-12-29,UK,GCSE,113563.78,Single,Male,2006-02-04,Yes,No,42869.55,Yes,Yes,Yes,349,Yes,13,2.71
1000112,Rebecca,Martinez,1981-05-14,UK,GCSE,103751.67,Single,Male,2016-08-25,Yes,No,13548.37,Yes,No,No,792,Yes,6,2.77
1000113,Robert,Harrington,1988-09-10,Canada,Master,159945.21,Single with Partner,Male,2016-02-16,No,Yes,125489.82,No,Yes,Yes,551,Yes,2,4.1
1000114,Richard,Powers,1967-09-02,Germany,Bachelor,176149.87,Single,Female,2010-10-06,No,No,239638.92,No,No,No,670,No,11,1.95
1000115,Michael,Reyes,1966-10-29,USA,GCSE,78425.28,Married,Male,2006-12-15,No,Yes,145776.07,Yes,No,Yes,815,Yes,18,2.83
1000116,Kenneth,Ramsey,1960-10-07,Germany,GCSE,80442.45,Single,Female,2009-04-15,Yes,No,139028.87,Yes,No,Yes,748,Yes,12,1.32
1000117,Robert,Molina,2006-06-21,Germany,GCSE,55773.7,Single,Female,2011-05-21,No,Yes,206740.91,No,No,Yes,739,No,20,1.49
1000118,Emily,Bailey,1988-01-22,UK,Master,156966.77,Married,Female,2014-08-14,No,No,232265.64,No,No,No,795,Yes,0,4.18
1000119,Wendy,Smith,1983-08-02,Germany,GCSE,31499.66,Single,Male,2010-07-05,Yes,No,174759.39,Yes,No,No,781,Yes,6,3.09
1000120,Wayne,Roberts,1946-10-21,USA,Master,148587.9,Single,Female,2003-10-22,Yes,No,223886.19,Yes,Yes,Yes,785,Yes,5,2.54
1000121,Anthony,Stark,1992-12-02,Germany,GCSE,90799.54,Married,Female,2020-04-23,No,Yes,44133.98,No,No,Yes,628,No,8,2.07
1000122,Amber,Mccann,1981-04-09,Germany,GCSE,115508.74,Married,Male,2002-01-21,Yes,No,126050.4,Yes,Yes,No,552,Yes,20,4.85
1000123,Matthew,Moses,1996-12-26,UK,Doctorate,197045.13,Single with Partner,Male,2023-04-14,No,No,91405.42,No,Yes,Yes,466,Yes,0,2.87
1000124,Nicholas,Warner,1960-10-27,UK,Master,164457.83,Single,Female,2002-02-24,Yes,No,83397.32,Yes,Yes,Yes,551,No,7,3.25
1000125,Robert,Smith,1991-05-01,UK,GCSE,82235.74,Single with Partner,Female,2007-12-14,No,Yes,53876.87,Yes,No,Yes,555,No,16,4.94
1000126,Sarah,Holmes,1998-04-02,USA,Master,134857.69,Single with Partner,Male,2006-02-15,No,Yes,223541.55,Yes,No,No,829,No,20,4.01
1000127,Robert,Kelly,1997-06-07,Germany,Bachelor,175624.65,Single with Partner,Male,2015-08-29,No,Yes,112812.16,Yes,No,Yes,370,Yes,17,2.51
1000128,Claudia,Perry,1992-08-28,Germany,Master,125652.7,Married,Male,2011-11-16,No,No,132751.4,No,Yes,No,485,No,0,3.23
1000129,Kara,Miller,1981-11-16,UK,Bachelor,142774.85,Single with Partner,Female,2014-10-10,No,Yes,69367.15,No,Yes,Yes,795,No,11,2.58
1000130,Amanda,Flores,1984-03-21,USA,Master,173469.07,Single,Female,2011-12-28,No,Yes,240727.58,No,No,No,460,Yes,13,3.21
1000131,Donna,Williams,1982-12-18,USA,Doctorate,144824.81,Single,Male,2017-06-07,No,Yes,152958.02,Yes,Yes,Yes,535,Yes,18,3.59
1000132,Judith,Harvey,1969-07-20,UK,GCSE,28785.3,Single,Male,2012-01-18,Yes,No,573.27,Yes,No,No,461,No,0,4.9
1000133,Mark,Ross,1992-05-16,UK,Master,186549.63,Divorced,Female,2023-08-10,No,Yes,67265.96,Yes,No,No,574,No,5,3.93
1000134,Shirley,Snyder,1984-03-18,UK,Bachelor,144826.4,Married,Female,2003-09-14,No,Yes,249837.16,Yes,No,Yes,803,Yes,19,3.79
1000135,Tonya,Long,1970-07-25,Canada,GCSE,30058.1,Divorced,Female,2002-11-05,Yes,No,243703.8,Yes,Yes,No,459,Yes,0,1.39
1000136,Wesley,Bennett,1945-01-09,UK,GCSE,31179.66,Married,Female,2010-07-21,Yes,No,136336.27,No,No,No,311,No,20,2.28
1000137,Heather,Olson,1964-10-26,USA,GCSE,48168.84,Divorced,Male,2008-02-22,Yes,No,141203.67,Yes,No,No,505,No,20,2.12
1000138,Robert,Hall,1997-03-02,Germany,Master,134241.28,Divorced,Female,2003-01-08,Yes,No,225436.49,Yes,No,No,632,Yes,20,1.4
1000139,David,Wilson,1952-02-16,UK,Bachelor,181944.01,Divorced,Male,2009-04-15,No,No,177258.06,Yes,Yes,Yes,524,Yes,16,4.49
1000140,Aaron,Wilson,1952-04-30,Canada,Bachelor,145734.72,Married,Female,2023-09-29,No,No,233081.21,Yes,Yes,No,711,Yes,2,4.25
1000141,Leah,Martin,1961-11-04,Canada,GCSE,101250.8,Single with Partner,Female,2012-07-07,No,Yes,119991.59,Yes,Yes,Yes,448,Yes,4,4.16
1000142,Emily,Bishop,1986-02-21,UK,Bachelor,133907.68,Divorced,Female,2010-07-27,No,Yes,243984.82,No,Yes,No,667,Yes,15,1.71
1000143,Dennis,Brown,1998-01-12,USA,Doctorate,159430.33,Married,Female,2023-08-01,No,No,135071.63,No,Yes,No,765,No,15,3.4
1000144,Lindsay,Hughes,1971-03-09,UK,Bachelor,175042.97,Married,Male,2009-12-30,No,No,161351.81,No,Yes,No,719,No,5,3.11
1000145,Kayla,Reed,1970-05-21,UK,Master,172159.27,Single with Partner,Male,2000-10-01,No,Yes,21008.69,Yes,Yes,No,634,No,17,3.45
1000146,Shelley,Long,1984-08-21,UK,Master,168090.35,Married,Male,2016-12-27,No,Yes,153062.87,No,No,Yes,696,No,17,4.15
1000147,Vicki,Weber,1955-11-08,USA,Master,193985.73,Single with Partner,Female,2022-12-30,Yes,No,192036.88,Yes,No,No,670,No,18,1.38
1000148,Gabriella,Taylor,1988-03-09,USA,Bachelor,138282.01,Single,Female,2014-11-20,No,No,110050.36,Yes,Yes,Yes,773,Yes,16,1.76
1000149,Eileen,Wilson,1957-01-04,UK,Master,159497.54,Married,Female,2009-07-11,No,No,125808.58,No,Yes,Yes,309,No,10,2.13
1000150,Lori,Ward,1962-09-15,UK,Bachelor,190719.4,Single,Female,2010-01-04,Yes,No,98574.52,Yes,Yes,No,535,Yes,9,2.88
1000151,Heather,Jones,1992-02-27,Canada,Doctorate,126231.5,Married,Male,2018-08-21,Yes,No,242272.76,No,No,Yes,757,No,17,3.34
1000152,Stephen,Martinez,1988-07-05,UK,GCSE,29365.27,Married,Male,2015-12-27,Yes,No,119365.41,No,No,No,508,No,17,2.22
1000153,John,Gamble,1954-07-04,UK,GCSE,46397.02,Single with Partner,Male,2019-11-10,No,No,31902.35,Yes,Yes,No,783,Yes,18,1.44
1000154,Linda,Myers,1959-01-10,USA,GCSE,84770.04,Single,Female,2017-02-27,No,No,7606.5,Yes,No,Yes,379,Yes,12,3.03
1000155,Shelly,Roberts,1992-01-27,Canada,Master,140790.37,Single with Partner,Female,2006-03-24,Yes,No,193208.31,No,No,No,356,No,9,1.24
1000156,Jerry,Mason,1951-12-17,UK,Bachelor,135219.19,Single with Partner,Male,2000-02-21,Yes,No,137099.14,No,Yes,No,809,No,10,2.45
1000157,Juan,Cunningham,1986-05-05,USA,GCSE,68045.02,Married,Female,2001-09-19,Yes,No,1091.52,No,Yes,No,626,Yes,0,1.18
1000158,Joshua,Brown,1962-12-01,Germany,GCSE,82905.41,Single,Male,2014-06-02,No,No,95877.65,Yes,Yes,No,731,Yes,12,1.88
1000159,Tammy,Ellis,1986-01-16,UK,Doctorate,139884.62,Single,Male,2019-06-22,Yes,No,228546.7,No,No,Yes,388,No,3,1.44
1000160,Randy,Williams,1947-09-05,Germany,Master,144055.29,Married,Male,2019-10-27,Yes,No,236959.63,No,No,Yes,720,No,16,2.79
1000161,Eric,Baxter,2000-03-16,UK,Bachelor,169084.74,Single,Male,2014-01-07,No,No,13768.39,Yes,No,Yes,566,Yes,4,1.94
1000162,Yolanda,Smith,1991-09-29,USA,Master,195659.07,Married,Female,2005-07-01,Yes,No,31206.23,Yes,No,No,370,No,5,1.22
1000163,Michael,Anderson,1972-09-30,USA,Bachelor,173979.34,Divorced,Male,2021-07-29,No,Yes,1615.64,No,No,No,449,No,7,2.19
1000164,Amber,Santana,2005-02-10,USA,Bachelor,182632.33,Single,Male,2001-08-15,Yes,No,217220.96,No,No,Yes,821,No,16,4.57
1000165,Laura,Miller,1976-03-28,UK,Doctorate,149344.81,Married,Female,2000-12-31,No,No,18093.2,No,No,Yes,409,Yes,11,4.37
1000166,Laura,Carter,1954-11-19,Germany,GCSE,50136.42,Divorced,Female,2018-02-03,No,No,27331.88,No,Yes,Yes,382,No,17,4.53
1000167,Jason,Smith,1985-11-05,UK,Bachelor,156341.42,Single with Partner,Female,2010-09-05,No,No,57214.61,No,No,Yes,507,Yes,8,2.57
1000168,Dawn,Richardson,1954-12-20,UK,Bachelor,184570.63,Single with Partner,Male,2009-07-14,No,Yes,229345.49,Yes,No,Yes,482,No,5,4.52
1000169,Nicholas,Jensen,1974-10-01,UK,Bachelor,156503.97,Single with Partner,Male,2010-01-19,No,Yes,172183.21,Yes,No,No,619,No,20,4.81
1000170,Maurice,Smith,1946-10-06,USA,Bachelor,187738.03,Married,Male,2014-11-04,No,Yes,154373.59,Yes,No,Yes,433,Yes,18,4.83
1000171,Annette,Watson,1996-08-05,USA,Bachelor,199101.76,Single with Partner,Male,2006-04-06,No,Yes,196250.36,Yes,No,Yes,305,No,12,1.5
1000172,Philip,Savage,1974-06-12,UK,GCSE,30914.56,Divorced,Female,2020-05-03,Yes,No,173443.81,Yes,Yes,Yes,317,Yes,2,4.29
1000173,Mary,Wright,1992-07-19,USA,Bachelor,123632.81,Married,Male,2005-04-19,Yes,No,186583.33,Yes,No,No,590,No,16,2.35
1000174,Joyce,Newman,1979-02-18,UK,GCSE,38360.61,Married,Male,2002-01-27,Yes,No,18784.65,No,No,No,412,Yes,3,2.8
1000175,Benjamin,Thompson,1985-04-12,USA,GCSE,60899.49,Married,Female,2016-10-03,No,No,147605.42,No,Yes,Yes,710,Yes,12,3.62
1000176,Diana,Carlson,2000-09-06,UK,GCSE,36580.05,Married,Female,2014-01-29,Yes,No,188400.54,No,Yes,Yes,328,No,17,4.03
